efficiency,avg_bedtime,avg_actual_sleeptime,quality,weekday_midnight,weekend_midnight,disorder,motivation,ontime_bed,outside_noise,inside_noise,light,temperature,mattress,health,sm_quality
0.9008264462809917,8.642857142857142,7.785714285714286,4,1,0,0,3,4,2,2,2,2,1,1,1
0.8784313725490196,9.107142857142858,8.0,5,1,1,0,4,3,1,1,1,2,2,1,1
0.9651162790697674,6.142857142857143,5.928571428571429,3,0,0,1,4,2,1,1,2,2,1,3,2
0.7058823529411765,8.5,6.0,4,1,1,1,3,4,2,1,1,4,3,4,1
1.0,8.285714285714286,8.285714285714286,3,1,0,0,4,3,1,1,2,2,1,2,2
0.88212927756654,9.392857142857142,8.285714285714286,4,1,1,0,4,5,1,1,1,3,2,1,1
1.0,4.5,4.5,2,1,1,0,4,3,1,3,1,3,2,3,3
0.8270042194092828,8.464285714285714,7.0,3,1,1,0,4,3,2,4,2,2,2,1,2
0.8421052631578947,9.5,8.0,4,1,1,0,4,4,2,1,1,3,2,3,1
0.8888888888888888,9.0,8.0,4,1,1,0,4,4,2,2,2,2,3,4,1
0.8571428571428571,7.0,6.0,3,1,1,0,4,4,3,1,1,1,2,2,2
0.8666666666666667,7.5,6.5,3,1,1,1,4,3,1,1,1,1,1,2,2
0.8571428571428571,7.0,6.0,5,1,1,0,2,3,2,2,2,2,1,1,1
0.7192982456140351,8.142857142857142,5.857142857142857,3,1,1,1,4,4,4,3,1,1,1,3,2
0.9372384937238493,8.535714285714286,8.0,4,1,0,0,3,4,2,3,2,2,2,2,1
0.7567567567567567,7.928571428571429,6.0,4,1,1,0,4,4,1,1,1,1,1,2,1
0.44954128440366975,15.571428571428571,7.0,4,1,0,0,3,2,2,2,1,2,3,2,1
0.9903846153846153,7.428571428571429,7.357142857142857,4,1,1,0,4,4,1,2,2,4,3,2,1
1.0,8.785714285714286,8.785714285714286,4,1,1,0,4,4,3,4,4,3,2,2,1
